path,repo_url,created_at,missing_scorecard,actor_unit,supply_chain_role,research_role,distribution_pathway,missing_fields
database/github/AlphonsG/Rainbow-Optical-Flow-For-ALI/metadata.json,https://github.com/AlphonsG/Rainbow-Optical-Flow-For-ALI,2021-03-26T09:39:17Z,yes,"Institution (university, lab, government research organization)",Application software,Direct research execution,Package registry,
database/github/nlesc/embodied-emotions-scripts/metadata.json,https://api.github.com/repos/NLeSC/embodied-emotions-scripts,2015-10-02T08:46:50Z,yes,"Institution (university, lab, government research organization)",Application software,Direct research execution,Package registry,
database/github/nlesc/scriptcwl/metadata.json,https://api.github.com/repos/NLeSC/scriptcwl,2016-10-12T08:30:20Z,yes,"Institution (university, lab, government research organization)",Dependency software artifact,Research-support tooling,Package registry,
database/github/mmann1123/xr_fresh/metadata.json,https://github.com/mmann1123/xr_fresh,2020-03-09T18:33:11Z,yes,Individual maintainer,Dependency software artifact,Direct research execution,Package registry,
database/github/JuliaOcean/AIBECS.jl/metadata.json,https://github.com/JuliaOcean/AIBECS.jl,2019-05-08T05:03:31Z,no,Unknown,Unknown,Unknown,Unknown,"actor_unit,supply_chain_role,research_role,distribution_pathway"
database/github/DistrictDataLabs/yellowbrick/metadata.json,https://api.github.com/repos/DistrictDataLabs/yellowbrick,2016-05-18T14:12:17Z,yes,Vendor or commercial entity,Dependency software artifact,Research-support tooling,Package registry,
database/github/ECSHackWeek/impedance.py/metadata.json,https://api.github.com/repos/ECSHackWeek/impedance.py,2018-06-05T02:49:41Z,yes,Community or foundation (open source governance),Dependency software artifact,Research-support tooling,Package registry,
database/github/soedinglab/MMseqs2/metadata.json,https://github.com/soedinglab/MMseqs2,2016-07-20T06:17:59Z,yes,Research group or lab,Application software,Direct research execution,Package registry,
database/github/a-renzini/pygwb/metadata.json,https://github.com/a-renzini/pygwb,2023-02-21T23:28:23Z,yes,Individual maintainer,Application software,Direct research execution,Source repo,
database/github/Alcampopiano/hypothesize/metadata.json,https://api.github.com/repos/Alcampopiano/hypothesize,2020-03-04T20:39:34Z,yes,"Institution (university, lab, government research organization)",Dependency software artifact,Direct research execution,Package registry,
database/github/adamjermyn/Skye/metadata.json,https://github.com/adamjermyn/Skye,2020-11-17T20:29:22Z,no,Individual maintainer,Unknown,Unknown,Unknown,"supply_chain_role,research_role,distribution_pathway"
database/github/plotly/dash/metadata.json,https://api.github.com/repos/plotly/dash,2015-04-10T01:53:08Z,yes,Vendor or commercial entity,Dependency software artifact,Research-support tooling,Network service,
database/github/GunzIvan28/rMAP/metadata.json,https://github.com/GunzIvan28/rMAP,2020-08-20T15:35:29Z,yes,Research group or lab,Application software,Direct research execution,Installer or binary,
database/github/kernsuite-debian/parseltongue/metadata.json,https://github.com/kernsuite-debian/parseltongue,2016-07-22T09:15:22Z,no,"Institution (university, lab, government research organization)",Application software,Direct research execution,Unknown,distribution_pathway
database/github/HITS-AIN/PINK/metadata.json,https://github.com/HITS-AIN/PINK,2018-08-20T09:03:15Z,yes,"Institution (university, lab, government research organization)",Application software,Direct research execution,Package registry,
database/github/naonori/hitomi/metadata.json,https://github.com/naonori/hitomi,2021-10-20T02:20:31Z,yes,"Institution (university, lab, government research organization)",Application software,Direct research execution,Installer or binary,
database/github/richford/groupyr/metadata.json,https://github.com/richford/groupyr,2020-10-03T17:07:53Z,yes,Research group or lab,Dependency software artifact,Research-support tooling,Source repo,
