path,repo_url,created_at,missing_scorecard,actor_unit,supply_chain_role,research_role,distribution_pathway,missing_fields,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,overall_score
database/github/tmcclintock/AReconstructionTool/metadata.json,https://github.com/tmcclintock/AReconstructionTool,2019-05-18T02:59:26Z,no,Individual maintainer,Application software,Direct research execution,Installer or binary,,10,0,-1,0,0,3,-1,0,0,0,0,-1,-1,0,0,-1,-1,3,1.6
database/github/tmcclintock/cluster_toolkit/metadata.json,https://github.com/tmcclintock/cluster_toolkit,2017-08-09T15:54:58Z,no,Individual maintainer,Application software,Direct research execution,Source repo,,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,2.6
database/github/nathanchara/l1periodogram/metadata.json,https://github.com/nathanchara/l1periodogram,2020-03-30T16:30:46Z,no,Individual maintainer,Application software,Direct research execution,Installer or binary,,10,0,0,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,2.6
database/github/glasgowlab/MAGPIE/metadata.json,https://github.com/glasgowlab/MAGPIE,2023-08-22T16:38:03Z,no,Research group or lab,Application software,Direct research execution,Source repo,,10,0,-1,0,0,10,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,2.6
database/github/ahcm/ffindex/metadata.json,https://github.com/ahcm/ffindex,2015-08-27T09:12:22Z,no,Individual maintainer,Application software,Research-support tooling,Installer or binary,,9,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,2.2
database/github/KathrynJones1/catwoman/metadata.json,https://github.com/KathrynJones1/catwoman,2019-07-19T09:23:25Z,no,"Institution (university, lab, government research organization)",Dependency software artifact,Research-support tooling,Package registry,,10,0,0,0,1,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,3.0
database/github/ProfessorBrunner/rc3-pipeline/metadata.json,https://github.com/ProfessorBrunner/rc3-pipeline,2014-04-22T18:07:49Z,no,Individual maintainer,Application software,Direct research execution,Source repo,,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,2.9
database/github/abatten/fruitbat/metadata.json,https://github.com/abatten/fruitbat,2019-02-09T09:52:39Z,no,"Institution (university, lab, government research organization)",Dependency software artifact,Research-support tooling,Package registry,,10,0,0,0,0,3,10,0,0,10,0,-1,0,0,0,-1,0,1,2.3
database/github/nespinoza/ld-exosim/metadata.json,https://github.com/nespinoza/ld-exosim,2015-11-13T23:36:00Z,no,"Institution (university, lab, government research organization)",Application software,Direct research execution,Source repo,,10,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,2.7
database/github/nespinoza/mc-spam/metadata.json,https://github.com/nespinoza/mc-spam,2015-02-17T15:56:04Z,no,Individual maintainer,Application software,Direct research execution,Source repo,,0,0,-1,0,0,3,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,1.6
